Rooms,Bathroom,Landsize,BuildingArea,YearBuilt,Price
3,2,165,133,2009,700000
4,2,357,270,2015,2750000
2,1,136,78,2000,790000
3,2,145,138,1880,1400000
3,1,354,117,1880,1650000
3,1,210,121,2012,555000
2,1,154,2,2005,545000
4,2,603,148,1920,1479000
2,1,208,129,2000,1255000
2,1,159,70,2000,416000
1,1,0,44,1960,360500
2,1,2020,68,1998,450000
2,1,0,75,2010,420000
2,1,1140,80,2010,501000
3,1,535,132,1970,910000
2,1,297,108,1910,1340000
4,3,717,247,1985,1440000
2,1,501,66,1960,537000
4,3,270,215,2009,1230000
3,1,203,81,1900,1260000
3,1,111,116,1998,808000
3,2,630,126,2017,825000
3,2,310,287,1930,1345000
2,1,0,65,2000,605000
2,1,0,60,1960,455000
4,2,511,182,2007,985000
3,1,692,125,1950,908000
2,1,1501,84,1960,807000
3,1,531,118,1962,850500
2,1,637,73,1970,630000
2,1,199,93,1900,890000
4,2,754,175,1960,1700000
3,2,575,120,1960,1000000
3,2,428,100,1965,871000
1,1,0,62,1999,370000
3,2,373,113,1984,1120000
2,1,0,85,1940,730000
4,2,690,248,1890,2850000
2,1,0,73,2010,485000
3,1,0,95,1970,782000
4,2,455,147,1950,810000
4,2,563,168.01,1995,608500
2,1,617,109.98,1960,906000
4,2,319,130,1915,1225000
3,2,609,168,1980,815000
3,1,626,122,1950,735000
3,1,763,180,1930,1700000
2,1,99,98,1965,632500
2,2,0,67,2013,600000
4,2,447,134,1996,537000
3,1,605,103,1960,585000
2,1,308,112,1950,752500
2,1,229,113,2005,880000
2,1,0,74,2005,600000
2,2,0,94,1980,810000
4,2,132,195,1890,1630100
3,2,720,147,1955,1770000
4,2,209,120,1960,540000
1,1,0,45,1970,216000
3,1,284,113,1900,1271000
4,1,700,175,1950,1125000
4,1,363,127,1920,1217000
3,1,532,934,1980,580500
3,2,1036,132,1954,895000
1,1,0,41,2010,333000
4,2,0,171,1970,530000
1,1,0,34,1970,442500
3,2,147,125,2015,722000
1,1,0,45,1975,320000
2,1,184,103,1900,1170000
3,1,438,151,1906,1715000
2,1,124,80,1985,600000
5,2,654,354,2015,2410000
4,1,717,180,1960,1300000
2,1,0,59,1970,410000
3,1,199,105,1900,1010000
3,1,600,122.86,1975,295000
4,3,288,158,2014,890000
2,1,402,106,1970,910000
2,2,146,132,2015,865000
4,2,444,256,1997,1500000
3,2,534,126,1975,840000
3,1,603,131,1950,547500
3,1,650,136,1930,1820000
4,2,470,153,1930,1428888
2,1,304,81,1960,650000
3,2,138,137,2013,795000
4,3,598,212,1948,1650000
2,1,170,100,2001,510000
2,1,0,60,1970,500000
2,1,178,100,1900,1211000
3,1,323,139,1960,770000
3,1,160,104,1970,655000
3,2,585,198,1950,1410000
4,2,531,138,1975,635000
3,1,178,100,1920,1193000
3,1,692,164,1940,2105000
4,2,612,363,2003,1655000
4,2,58,158,2007,1375000
2,1,113,118,2012,950000
3,2,280,109,1985,935000
3,2,697,163,2017,1000001
4,3,878,306,1970,1600000
3,1,166,136,1999,455000
4,1,680,170,1970,761000
3,1,902,129,1920,1930000
2,1,912,75,2008,468250
5,3,895,423,1938,2730000
4,3,474,180,1915,3000000
1,1,0,60,1990,895000
3,2,328,144,1980,1080000
2,1,0,62,1978,432000
2,1,967,72,1970,405000
3,2,239,113,2014,777000
3,2,162,115,2015,635000
3,1,602,175,1975,990000
4,2,154,161,2007,977000
3,1,396,116,1950,855000
4,2,632,180,1985,567000
3,1,224,128,2008,640000
2,1,225,100,1960,905000
3,2,354,143,1910,1650000
3,1,285,104,1890,1170000
2,2,201,111,2005,595000
2,1,73,104,2009,800000
4,1,678,177,1900,1400000
3,2,145,129,2015,650000
3,2,830,135,1975,826000
4,1,233,204,1890,1815000
4,3,654,305,1970,1460800
3,1,404,98,1950,655000
4,2,657,221,1978,1201000
3,2,330,148,2001,1310000
3,2,197,111,2007,533000
5,2,533,204,1965,910000
4,1,561,134,1960,680000
2,1,195,94,1900,1350000
4,2,776,268,1980,1010000
5,2,760,229,1935,1820000
4,3,661,170,1965,1100000
2,1,115,104,1980,475000
4,2,936,262,1985,885000
2,1,0,75,1980,650000
3,2,146,139,1900,1612000
4,2,769,240,1970,1810000
4,2,842,311,1990,3900000
2,2,415,138,1925,860000
3,2,858,165,1938,1625000
3,1,493,117,1915,1725000
3,1,657,91,1975,493000
2,1,0,62,2012,533000
4,2,517,247,1970,1388800
4,2,294,146,2011,475000
4,2,287,152,1990,685000
3,1,216,125,1890,880000
3,3,131,109,2008,645000
3,1,0,114,2003,805000
3,1,98,101,1997,917500
3,2,778,154,1950,1500000
2,1,250,104,1988,740000
3,1,689,110,1920,920000
2,1,869,74,1980,852000
1,1,1192,44,2009,435000
4,4,579,361,2012,2520000
5,2,545,171,1972,520000
3,1,0,94,1998,648000
2,1,0,81,1970,850000
3,1,301,109,2001,390000
2,1,0,86,2008,591000
3,3,247,103,2011,543500
2,1,90,90,1962,860000
3,2,333,192,2010,975000
2,1,0,86,2003,722000
5,2,757,335,1980,1600000
3,3,481,244,2012,1590000
3,2,286,124,2008,988000
3,2,0,145,2006,910000
3,1,670,134,1935,1025000
4,3,153,93,1900,1800000
3,2,649,114,1950,651000
4,2,2187,327,1903,3900000
3,2,141,94,2009,560000
4,4,579,361,2012,2620000
2,1,629,120,1960,820000
2,1,210,90,1996,810000
3,2,689,165.5,1950,1199000
3,1,109,120,2001,751800
4,2,696,199,1999,780000
2,1,73,61,1970,600000
4,2,553,553,2005,435000
1,1,0,42,1970,340000
3,2,669,166,2000,918000
3,2,4676,122,2010,740000
3,2,205,116,1910,2050000
3,1,687,122,1978,721000
2,1,0,65,1980,412000
5,3,326,210,2013,1060000
2,1,729,88,1960,472500
4,1,120,142,2014,1600000
3,3,555,192,1980,810000
2,1,275,106.2,1920,930000
3,1,695,133,1960,1250000
2,2,269,128,1910,1726000
2,2,736,116,1960,937000
3,1,462,108,1930,840000
3,2,703,153,1980,690000
3,1,1262,85,1955,685000
2,1,914,89,1970,575000
3,1,351,125,2002,679500
3,1,392,98,1920,1070000
4,2,678,184,1950,1167500
5,6,900,178,1960,1260000
5,2,674,281,1959,2600000
3,1,154,88,1920,906000
2,1,806,89,1965,778000
5,2,689,292,2007,1730000
4,2,343,109,1920,1336000
4,3,665,206,1950,1950000
2,2,213,120,1990,790000
3,2,91,132,2000,640000
1,1,0,43,1970,320000
4,2,180,206,1994,1000000
3,3,81,100,2016,680000
3,2,210,131,2005,860000
3,1,582,115,1970,560000
5,3,528,204,2006,720008
2,1,567,74,1950,570000
1,1,546,51,2000,370000
4,2,1004,184,1985,977500
2,1,0,70,2004,516000
4,2,441,164,1910,1505000
2,1,438,2,1900,650000
4,1,578,104,1980,410000
4,3,127,209,2008,1700000
2,1,132,73,2014,560000
3,2,430,161,1938,1435000
2,1,97,85,2004,930000
2,1,921,84,1970,580000
3,1,446,115,1960,1510000
3,1,427,115,1938,1302000
4,1,646,119,1950,900000
3,1,345,111,1950,845000
3,2,0,189,1935,1990000
4,2,1459,272.4,2011,817000
3,2,186,137,1890,1297000
2,1,298,88,1910,860000
3,2,608,138,2001,631000
4,2,641,180,1980,1137500
6,2,588,113,1955,750000
2,1,589,120,1930,815000
3,2,101,105,2000,1205000
4,3,1177,291,1960,2309000
3,2,810,114,1980,676000
2,1,0,69,1960,521500
2,1,368,81,1955,440500
3,1,159,129,2011,855000
3,1,148,3,1950,751000
3,1,581,90,1960,690000
3,1,216,100,1910,1261000
5,3,650,178,1970,765000
2,1,107,75,1950,858000
5,1,227,152,2013,645000
3,1,588,92,1960,528000
3,2,1029,136,1950,980000
3,1,413,85,1960,465000
2,1,288,105,1925,1110000
3,2,119,110,2009,460000
4,2,308,185,2012,826000
4,3,665,232,1970,1950000
3,1,472,95,1950,1080000
2,1,15100,66,2012,352500
2,1,91,84,2014,490000
3,1,685,175,1950,2060000
2,1,0,59,1960,600000
4,2,925,218,1960,1868000
1,1,0,49,1970,1210000
3,2,913,112,1950,1051000
2,1,168,86,2011,500000
1,1,760,70,2007,455000
3,1,658,146,1950,1042500
4,1,559,169,1965,875000
4,2,581,179,1950,1495000
2,2,77,88,2007,765000
4,3,234,176,2012,1142000
3,2,672,136,1970,1010000
4,1,836,173,1910,2258000
3,2,534,121,1980,600000
3,1,721,120,1970,1200000
3,1,583,124,1970,660000
4,2,521,196,1990,715000
4,3,848,214,1926,2360000
3,2,215,121,2010,440000
2,1,274,103,1930,953000
4,2,739,183,2002,1998000
4,2,360,249,1910,1750000
2,1,479,85,1950,876000
3,2,303,225,2016,840000
2,1,472,55,1960,390000
2,1,360,83,1960,365000
3,3,173,184,2000,780000
5,2,783,223,1950,1100000
3,1,557,90,1960,696000
3,2,359,119,1910,1930000
3,6,592,103,1960,751000
2,1,1097,63,1967,410000
3,1,265,115,1910,760000
4,3,511,187,1922,1436000
4,1,453,145,1920,1361500
2,1,0,65,1970,582500
4,2,597,150,1970,1300000
3,1,693,93,1950,920000
2,1,0,74,1969,704000
6,2,453,305,2001,1180000
2,1,223,118,1885,1210000
3,1,230,127,1900,1500000
4,2,605,274,1920,2475000
2,1,0,64,2009,510000
3,2,382,151,2000,960000
3,2,507,128,1960,766000
3,2,1353,282,1960,3650000
3,1,647,127,1965,1360000
2,1,537,92,1950,1220000
3,2,191,142,2000,590000
3,1,605,145,1960,740000
4,1,313,113,1950,840000
3,2,189,110,1990,700000
3,1,612,124,1950,1354000
2,1,163,69,1920,711000
2,1,163,92,1890,1210000
5,3,583,271,2009,1900000
3,1,126,120,1995,597000
3,1,907,165,1960,980000
2,2,2920,84,2006,610500
4,3,417,203,1980,1385000
2,1,412,123,1950,1280000
3,1,608,138,1975,950000
3,2,1317,228,2000,2840000
2,1,160,119,1880,846000
3,1,535,104,1970,560000
3,1,594,148,1960,1230000
3,3,310,315,2014,2050000
2,2,0,95,2013,1040000
2,1,0,61,1970,400000
5,3,4221,321,1980,1550000
4,2,448,155,2011,530000
2,1,0,65,1970,450000
1,1,0,40,1975,358500
4,1,665,147,1980,775000
4,2,723,1,1970,770000
3,2,263,146,2016,970000
3,3,398,262,2012,2050000
1,1,63,51,2010,422000
4,2,500,277,2001,1260000
2,1,0,61,1970,512000
4,3,420,270,2016,2050000
3,1,248,100,1900,1520000
4,2,599,203,1925,1717500
2,1,298,88,1900,680000
3,2,138,138,1998,1390000
4,3,338,196,1890,2910000
3,1,640,144,1960,610000
4,2,625,140,1960,800000
3,1,456,144,1950,1310000
3,2,275,170,1991,1875000
4,2,616,215,1970,645000
3,1,584,123,1980,880000
4,2,949,293,1910,2050000
3,2,0,93,1970,822500
3,1,743,115,1970,953000
2,1,0,80,2002,395000
3,2,231,180,1890,2050000
3,2,807,192,1950,994000
3,1,531,157,1960,728500
3,2,374,180,1990,840000
5,4,2064,405,1951,3850000
3,1,375,118,1910,1205000
3,1,599,107,1960,515000
2,1,101,75,1900,1722500
2,2,226,475,2005,855000
5,3,642,336,1930,2352500
4,2,649,305,2000,751000
3,2,128,133,1890,1850000
3,1,219,3,2011,760000
2,1,0,51,2010,360000
2,1,178,84,2013,780000
4,2,231,146,2013,600000
3,2,468,135.5,1940,1242000
4,3,715,271,1970,1050000
3,1,150,119,2000,810000
3,1,640,97,1950,737000
3,1,591,104,1960,740000
3,1,604,120,1925,1125000
3,2,739,112,1970,730000
3,1,0,121,2010,816000
4,2,320,131,1950,792000
3,2,283,222,2002,1250000
2,1,190,70,1970,609000
3,1,215,125,1920,1200000
5,3,501,233,2006,2325000
3,2,336,94,1910,875000
2,1,0,85,1960,671000
2,1,0,10,1970,570000
3,1,667,115,1920,1400000
4,3,272,188,2000,1016000
2,1,73,64,1960,400000
2,1,0,73,1970,592500
1,1,0,53,2005,385000
3,1,598,92,1965,495000
4,3,635,200,1950,1515000
5,3,827,344,1920,3750000
3,2,282,141,1890,1875000
5,3,715,420,2009,3020000
2,1,401,113.81,1945,888000
2,1,207,77,1950,825000
3,2,316,170,2008,640000
3,2,213,1,2012,815000
2,1,207,94,1910,940000
4,3,650,224,1985,1105000
3,1,259,130,1920,1495000
3,1,726,131,1950,1050000
5,3,450,265,1930,1700000
3,2,110,118,2000,640000
2,1,299,115,1930,967500
3,2,553,138,1960,1090000
2,1,111,84,2000,525500
4,3,787,282,1915,4050000
2,1,0,65,1970,450000
3,1,446,134,1980,1220000
1,1,0,67,2005,300000
4,2,719,271,1950,2100000
3,2,5042,102,1995,2460000
3,2,422,120,1950,1402000
4,1,412,160,1920,931000
3,2,0,187,2010,1264000
2,1,79,68,1890,980000
2,2,14196,86,2005,615000
5,3,531,233,1978,1025000
2,1,140,78,2010,407000
3,1,213,112,2000,560000
4,2,863,165,1940,1601000
3,1,506,120,1930,1120000
4,1,536,164,1910,145000
4,3,934,199,2014,1502000
3,1,716,111,1955,787000
5,5,688,490,2006,1150000
1,1,0,62,2000,470000
4,5,638,352,2014,920000
3,1,546,99,1978,480000
4,2,1057,195,1995,797000
2,1,446,82,1975,655000
3,2,300,212,2011,856000
2,2,0,133,1995,1340000
3,2,66,118,2013,1100000
4,2,692,195,1890,1600000
3,1,326,112,1991,855000
3,2,462,132,1960,1050000
2,1,621,109,1960,575000
3,2,362,138,1900,1520000
5,3,661,253,1940,1590000
4,2,652,230,1925,2376000
3,2,156,124,2012,695000
2,1,610,61,1939,621000
3,1,971,113,1960,830000
4,2,301,209,2005,975000
5,2,543,200,1980,932000
2,1,677,88,2012,725000
2,1,772,120,1940,1270000
3,1,468,92,1960,650000
2,1,121,100,1960,760000
3,2,275,153,1999,1420000
2,1,0,13,1969,605000
3,1,558,105,1980,680000
4,2,596,120,1930,1645000
4,1,600,186,1886,1600000
3,1,904,110,1980,732000
3,2,308,129,2015,690000
3,2,0,145,1965,730000
2,1,111,73,1880,885000
3,1,530,129,1980,885000
3,2,175,110,2014,580000
3,2,667,152,1975,615000
3,2,400,143,1996,490000
4,2,757,133,1930,1550000
3,1,454,134,1940,620000
3,2,454,122,1950,940000
3,1,111,3,1872,690000
3,2,337,222,2000,1300000
3,1,893,103,1940,780000
3,2,740,119,1985,410000
4,1,713,109,1950,695000
3,1,584,121,1965,631000
3,1,249,116,1925,1115000
3,1,353,360,1925,756000
3,2,0,104,2005,791500
3,1,208,107,2011,492000
3,1,377,115.96,1960,605000
2,1,117,62,2012,352000
1,1,1006,51,2010,454000
2,1,101,300,1990,660000
3,1,278,166,1900,1305000
2,1,4051,68,2005,520000
4,3,636,227,1960,1890000
2,2,0,63,2014,460000
2,1,0,86,2000,500000
3,1,4679,170,1975,800000
1,1,0,44,1970,366000
4,2,230,178,2007,1380000
5,3,751,439,1980,1330000
1,1,0,46,1930,750000
3,1,333,147,1948,1297000
2,1,520,300,2006,741000
2,1,170,78,1960,778500
3,1,582,110,1965,720000
3,2,240,180,2006,1030000
3,2,705,158,1935,2200000
2,1,112,93,1960,750000
2,1,0,59,1970,391000
3,2,668,140,1965,1150000
4,3,691,213,1950,1600000
2,1,0,68,1970,360000
4,2,578,35,2010,1200000
3,1,258,142.6,2001,595000
2,1,2379,69,2013,750000
3,2,590,140,1940,1127000
2,1,87,62,1970,300000
4,3,708,150,1960,1352000
5,2,706,166,1950,958000
4,2,243,140,2005,950000
3,2,295,145,1998,845000
5,2,699,228,1925,2250000
2,1,0,65,1970,393000
4,2,597,150,1970,1300000
3,3,1149,225,1920,2588000
2,1,172,94,1900,881000
3,2,557,136,1971,555500
4,2,445,175,1890,3400000
2,1,132,83,1970,661000
4,3,706,200,1970,1310000
3,1,578,128,1960,741000
2,1,0,82,1970,760000
3,1,320,130,2000,447500
3,2,655,120,1975,710500
3,1,563,118,1940,787000
5,3,613,133,1955,1900000
3,1,337,100,1950,986000
3,1,587,96,1950,910000
3,3,248,166,2011,995000
4,2,412,423,1940,1820000
2,1,0,87,1935,810000
3,2,680,170,1935,1735000
3,2,0,166,2001,998000
4,2,604,166,1940,2300000
3,1,548,115,1975,1033000
4,2,484,186,1950,1650000
4,2,708,184,1990,835000
2,1,215,0,2000,841000
3,2,653,650,1992,910000
4,1,633,164,1990,1150000
4,2,790,251,1890,3550000
3,1,650,135,1950,820000
1,1,0,62,1900,515000
4,2,466,160,1930,1805000
2,1,0,86,1930,825000
2,1,1080,66,1960,491000
3,1,835,118,1960,810000
3,2,479,153,1950,998000
2,1,0,91,1970,683000
3,2,0,118,2015,730000
3,2,601,101.51,1950,894000
4,2,432,196,2000,1630000
4,2,504,168,1890,2520000
2,1,0,77,1975,470000
3,1,320,110,1940,940000
4,2,240,170,1900,1440000
4,2,664,150,1980,1400000
3,1,118,86,1970,570000
2,1,0,76,1970,640000
3,2,632,226,2013,975000
4,2,264,188,1996,1350000
2,1,0,90,1970,773000
2,1,327,75,2004,1100000
4,2,935,241,1927,3270000
3,1,288,132,1999,950000
4,2,603,220,1930,2550000
4,2,288,210,1980,900000
3,2,724,156.6,2009,650000
2,1,657,92,1940,950000
3,2,411,159,1990,960000
3,2,298,124,1995,1000000
2,1,539,107,1940,1150000
3,1,546,103,1950,980000
5,3,619,153,1975,955000
3,2,229,180,2012,820000
3,1,421,97,1930,810000
4,2,659,177,1992,890000
4,1,452,125,1925,865000
2,1,188,107,1900,981000
2,1,230,69,2015,502000
2,2,0,150,2010,1935000
2,1,963,86,2012,582000
4,3,0,212,2012,1900000
3,1,720,131,1970,775000
2,2,0,102,1999,685000
4,2,862,153,1970,1500000
5,4,684,427,2013,3550000
4,2,553,143,1910,2077000
3,1,255,148,2001,620000
3,1,328,118,1970,588000
3,2,216,145,2010,652000
4,3,904,420,2003,3360000
3,1,604,97,1970,702000
3,1,598,104.4,1975,830000
3,1,578,140,1935,1535000
5,3,1011,327,1910,3625000
2,1,476,97,1930,996000
5,3,705,313,2005,1415000
3,1,266,98,1990,496000
2,1,71,47,1970,501000
3,2,903,131,1950,1040000
4,2,250,194,1983,822000
1,1,0,37,1960,300000
1,1,0,57,1950,340000
2,1,201,201,2000,493000
3,2,328,152,1980,1135000
2,1,193,106,1900,1520000
4,4,363,265,2012,1325000
3,2,268,117,2000,805000
4,2,583,323,1925,2515000
4,2,587,164,1986,410000
2,1,123,68,1900,875000
2,1,0,59,1970,630000
3,1,204,128,1900,1275000
3,1,1730,152,2001,1380000
4,2,627,185,1925,1700000
3,2,478,120,1925,1450000
3,3,0,141,2014,620000
1,1,0,102,1965,680000
4,2,2033,255,1970,950000
4,2,411,266,1996,1270000
2,1,0,109,1975,942000
4,2,809,198,1950,1300000
2,2,62,62,2014,520000
4,3,583,305,2000,2200000
2,1,132,83,1980,440000
3,1,253,130,1910,1280000
3,2,249,168,2007,1505000
2,1,0,73,2011,525000
4,2,502,309,2016,3460000
3,1,449,106.76,1940,892000
3,1,505,75,1960,700000
3,1,104,118,2000,998000
3,1,0,103,1980,750000
3,2,260,157,2010,820000
4,2,415,218,1900,1700000
2,1,649,126,1940,1445000
2,2,5289,70,2013,500000
4,2,624,277,2004,1255000
3,1,382,140,1950,1055000
3,1,157,123,1999,815000
4,2,664,155,1900,1609000
4,1,318,100,1908,1500000
3,2,608,138,2012,900000
3,2,216,135,1994,1253000
3,1,210,118,1900,1695000
2,1,206,98,1900,820000
3,1,1028,181,1965,2000000
5,3,646,261,1925,1900000
2,2,64,138,1995,800000
2,2,268,104,1950,657000
4,2,305,207,2012,1185000
3,1,283,104,1970,450000
3,2,0,133,2002,655000
2,1,120,121,2011,710000
3,2,243,133,2014,680000
3,2,585,173,1930,1960000
2,1,115,104,1960,625000
3,1,0,112,1970,620000
4,2,687,180,1955,1312000
3,1,486,115,1943,780000
3,1,947,132,1972,582500
4,3,614,225,1970,2150000
2,2,81,136,1990,1100000
6,3,708,275,1988,1900000
4,2,312,179,2004,1170000
3,1,191,105,1910,1165000
3,1,574,106,1970,646000
3,1,698,137,1960,870000
2,1,748,56,1965,432500
3,1,470,115,1930,881000
2,1,0,80,1960,600000
3,1,586,120,1960,775500
2,1,564,131,1948,1000000
1,1,0,36,1970,210000
4,2,147,159,1910,1100000
4,2,576,150,1940,866000
2,1,313,93,1915,858000
2,1,176,89,2012,465000
2,1,155,155,2000,270000
1,1,0,46,1960,365000
2,1,0,56,1970,465000
3,2,359,185,2008,983000
3,1,449,104,1950,700000
4,2,463,307,2012,870000
4,2,516,286,1925,2620000
4,2,697,189,1960,1138000
5,5,609,424,1970,3800000
5,3,836,789,2001,1100000
2,1,0,73,1975,537500
2,1,181,105,1880,1335000
2,1,123,79,1960,620000
2,1,146,104,1890,1310000
3,1,338,13,1980,480000
2,2,180,123,1940,890500
4,2,585,212,2014,1025000
2,1,0,59,2006,500000
4,3,519,218,1930,1600000
3,1,412,133,2003,583000
3,1,476,200,1956,640000
4,2,635,157,1985,545000
1,1,2347,43,1975,185000
2,1,117,73,1965,485000
3,1,250,115,1900,1555000
3,2,649,195,1967,3025000
4,2,427,233,2010,1550000
1,1,0,58,1968,310000
4,1,610,160,1950,1035000
4,3,0,159,2011,900000
2,2,0,79,2009,556000
3,1,656,107,1972,840000
3,1,606,141,1965,785000
2,1,64,112,2000,980000
2,1,141,73,2013,515000
5,4,769,285,1940,3175000
2,1,0,84,2001,535000
3,2,265,177,2010,1465000
3,1,460,141,1920,1210000
4,3,577,220,2009,1615000
3,2,4668,126,2011,820000
4,3,331,331,2010,758000
3,2,586,115,1999,616000
4,1,650,242,1930,2265000
3,2,77,115,2004,560000
2,1,0,77,2000,660000
3,1,176,106,1900,1214000
3,2,608,165,1920,1605000
4,2,717,191,1980,1330000
1,1,0,45,1970,465000
4,1,684,196,1970,1370000
2,1,586,86,1950,1110000
4,2,536,202,1985,732000
3,1,199,126,1900,1306000
3,2,401,129,1970,1110000
3,1,674,98,1950,985000
2,1,187,60,2005,515000
2,1,0,48,1980,602000
2,1,0,74,1970,340000
3,2,306,140,1900,1075000
4,2,659,212,1930,2010000
4,2,540,188,1978,816000
3,2,1170,202,1950,2550000
4,2,796,276,2012,3145000
3,3,626,378,2016,981000
3,2,69,141,2014,730000
2,1,312,110,1994,570000
2,2,586,119,1990,1140000
3,2,530,169,1999,520000
2,1,107,64,1910,870000
3,1,518,102,1960,477000
2,1,247,68,1974,475000
4,2,43,205,1930,1150000
1,1,1659,46,1960,354000
2,1,144,140,1995,793000
3,1,563,171,1989,610000
4,1,594,150,1940,1281000
2,1,0,66.32,1980,300000
3,1,240,84,1880,950000
5,2,616,184,1950,1300000
3,1,537,121.84,1980,442500
4,2,319,171,1915,1320000
3,2,509,125,1993,500000
2,1,0,109,2000,701000
4,2,314,189,2000,1425000
4,2,274,190,2004,1100000
4,2,830,200,1980,930000
3,2,382,173,1960,770000
2,1,0,66,1970,438000
3,2,448,147,1940,1000000
2,1,269,124,1910,1260000
3,2,200,139,2007,765000
2,1,0,72,1970,580010
3,1,246,120,1940,747000
2,1,216,90,2003,690000
3,2,440,156,1995,705000
3,2,2431,70,1999,1770000
3,1,487,131,1900,1440000
4,2,766,192,1950,1240000
3,2,333,141,2012,510000
4,2,700,267,1999,895000
3,1,580,0,1970,1290000
3,2,0,162,2007,735000
5,2,1236,340,1890,3950000
3,2,0,85,2000,1370000
4,2,726,223,1980,700000
3,2,339,159,1890,1690000
3,1,0,111,1980,890000
3,3,143,89,1890,1910000
4,2,879,235,1995,950000
4,3,539,162,1976,1080000
2,2,37000,90,2004,585000
5,2,510,321,1997,1350000
3,2,344,3,2000,900000
4,2,321,180,2006,1160000
3,1,672,152,1940,1920000
4,2,252,150,2014,608000
2,1,225,119,1910,1231010
3,1,565,98,1975,467000
3,2,459,153,2003,1017500
2,1,724,72,1975,525500
1,1,0,50,1960,441000
3,2,656,183,1990,960000
3,2,586,118,1980,373500
5,4,742,262,1980,2400000
2,1,0,61.6,2012,560000
3,2,273,125,1890,1811000
3,1,0,141,2010,853000
4,1,630,130,1960,630000
3,1,589,157,1965,895000
1,1,0,51,1960,370000
4,3,409,255,2016,2165000
5,2,1012,222,1915,2335000
1,1,0,38,1965,373000
2,1,229,92,1970,555000
2,1,126,65,1890,945000
1,1,682,34,1980,320000
3,1,538,112,1980,520000
3,2,375,155,2012,490000
3,2,157,144,2010,910500
4,3,958,255,2015,2000000
1,1,0,47,1970,291000
2,1,388,69,1960,495000
2,1,3967,87,2007,400000
4,2,682,240,1960,1940000
3,1,287,110,1910,1342000
2,1,171,80,2014,780000
3,1,371,100,1980,870000
5,3,463,196,1930,1360000
3,1,672,110,1960,900000
3,2,553,117,1975,500000
3,1,178,116,1910,1700000
3,1,316,118,1960,995000
4,2,820,197,1965,750000
4,3,508,364,2012,940000
3,1,199,121,1910,1470000
3,1,626,108,1950,700000
3,1,649,95,1955,695000
2,1,229,101,1990,960000
1,1,0,33,1970,270000
4,2,324,265,1890,2680000
5,4,602,264,2001,830000
3,1,649,101,1950,1555000
2,1,197,1,1970,955000
3,1,665,110,1930,540000
2,2,0,92,2001,800000
5,3,583,296,2007,1550000
3,2,211,234,2005,884500
2,1,130,81,1900,1436000
2,1,132,83,1980,440000
2,2,109,100,1900,1010000
5,3,592,251,1965,1085000
2,2,201,79,2005,722000
3,1,438,94,1960,815000
2,1,581,116.4,1970,1020000
2,1,542,65,1985,1035000
3,2,217,142,2006,601000
4,2,702,170,2003,990000
